class,cg06385324,cg03068376,cg26864230,cg09545123,cg09007236
-1.0,0.0419429,0.03605,0.0179911,0.0266751,0.0445269
-1.0,0.0442121,0.0293303,0.0364468,0.040995,0.0290625
-1.0,0.0364443,0.0281938,0.0305321,0.0469137,0.0245903
-1.0,0.0318692,0.0327364,0.0351,0.0403972,0.0247385
-1.0,0.0311326,0.0294003,0.0294173,0.0407156,0.0289545
-1.0,0.0247799,0.0363868,0.0201675,0.0146341,0.0251981
-1.0,0.0348616,0.0378071,0.0303586,0.0300845,0.0394913
-1.0,0.0412156,0.0349168,0.0647105,0.0501492,0.0411521
-1.0,0.0518411,0.0297348,0.0342743,0.0830026,0.0389327
-1.0,0.0234974,0.0363873,0.0255264,0.0316991,0.0313812
-1.0,0.0446261,0.0404145,0.0557034,0.0279524,0.0363352
-1.0,0.0249519,0.0335169,0.0245188,0.0425446,0.0289729
-1.0,0.0425612,0.026064,0.0269915,0.053828,0.0282784
-1.0,0.0220522,0.0307666,0.0274755,0.0370324,0.027686
-1.0,0.036592,0.0219707,0.0253249,0.0298658,0.024756
-1.0,0.026292,0.0269028,0.0274269,0.0114532,0.0300042
-1.0,0.0372125,0.0423274,0.0322228,0.0560971,0.0377287
-1.0,0.0486135,0.0425928,0.0312972,0.0537336,0.0503526
-1.0,0.0363157,0.0232022,0.022859,0.0504104,0.0301066
-1.0,0.150821,0.038395,0.0189984,0.0409077,0.0334354
-1.0,0.0659785,0.0312424,0.0386679,0.0490285,0.0468304
-1.0,0.0613201,0.0443794,0.0357788,0.0516797,0.0627089
-1.0,0.0284093,0.033949,0.0364951,0.0492215,0.0275336
-1.0,0.056454,0.0352643,0.0392349,0.0395711,0.0327816
-1.0,0.0300439,0.0383089,0.0301778,0.0491349,0.0426147
-1.0,0.0532575,0.0293083,0.0204367,0.0372165,0.0293493
-1.0,0.0421205,0.0297593,0.0487358,0.0366189,0.039768
-1.0,0.022754,0.0442017,0.0277088,0.0554607,0.036393
-1.0,0.0414281,0.036186,0.0182724,0.03098,0.0213803
-1.0,0.050331,0.0390079,0.0506903,0.0467188,0.0296463
